srcip,srcport,dstip,dstport,proto,total_fpackets ,total_fvolume ,total_bpackets ,total_bvolume ,min_fpktl ,mean_fpktl ,max_fpktl ,std_fpktl ,min_bpktl ,mean_bpktl ,max_bpktl ,std_bpktl ,min_fiat ,mean_fiat ,max_fiat ,std_fiat ,min_biat ,mean_biat ,max_biat ,std_biat ,duration ,min_active ,mean_active ,max_active ,std_active ,min_idle ,mean_idle ,max_idle ,std_idle ,sflow_fpackets ,sflow_fbytes ,sflow_bpackets ,sflow_bbytes ,total_fhlen ,total_bhlen ,"label(1=malware), (0=normal)"
147.32.84.165,1027,74.125.232.194,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,4,6376,29996,12008,8338,13663,18988,7530,38258,38258,38258,38258,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.191,1027,74.125.232.201,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,5,8113,40174,16037,8535,16230,23925,10882,48683,48683,48683,48683,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.165,1037,147.32.84.171,139,6,21,2906,11,1364,40,138,316,91,40,124,344,100,7,780,6836,1541,190,1527,6752,1896,15614,15614,15614,15614,0,0,0,0,0,21,2906,11,1364,856,448,0
147.32.84.192,1027,74.125.232.202,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,6,6310,29517,11824,8432,13636,18841,7360,37861,37861,37861,37861,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.191,1038,147.32.84.171,139,6,21,2910,11,1364,40,138,318,91,40,124,344,100,4,450,1631,581,187,875,1612,521,9006,9006,9006,9006,0,0,0,0,0,21,2910,11,1364,856,448,0
147.32.84.193,1027,74.125.232.192,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,7,6091,27948,11198,8663,13097,17532,6271,36546,36546,36546,36546,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.192,1037,147.32.84.171,139,6,21,2910,11,1364,40,138,318,91,40,124,344,100,5,722,6535,1470,225,1422,6522,1847,14440,14440,14440,14440,0,0,0,0,0,21,2910,11,1364,856,448,0
147.32.84.204,1027,74.125.232.201,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,7,7709,37505,14974,8744,17183,25622,11934,46256,46256,46256,46256,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.193,1037,147.32.84.171,139,6,21,2910,11,1364,40,138,318,91,40,124,344,100,5,467,1791,605,172,911,1742,532,9359,9359,9359,9359,0,0,0,0,0,21,2910,11,1364,856,448,0
147.32.84.205,1027,74.125.232.206,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,7,6443,30004,12005,8601,13755,18910,7289,38660,38660,38660,38660,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.204,1038,147.32.84.171,139,6,21,2910,11,1364,40,138,318,91,40,124,344,100,6,803,7125,1605,215,1578,6578,1832,16072,16072,16072,16072,0,0,0,0,0,21,2910,11,1364,856,448,0
147.32.84.205,1037,147.32.84.171,139,6,21,2910,11,1364,40,138,318,91,40,124,344,100,5,485,1941,625,278,940,1585,497,9706,9706,9706,9706,0,0,0,0,0,21,2910,11,1364,856,448,0
147.32.84.206,1027,74.125.232.205,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,6,6512,30133,12066,8735,13564,18393,6829,39076,39076,39076,39076,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.165,123,65.55.56.40,123,17,4,304,0,0,76,76,76,0,-1,-1,-1,0,5,5,6,0,0,0,0,0,3009208,5,5,6,0,3009197,3009197,3009197,0,2,152,0,0,88,0,0
147.32.84.165,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,5,5,6,0,0,0,0,0,5262254,567,717,843,139,2250024,2630051,3010078,537439,2,123,1,334,128,60,0
